L:1
17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1,17;1
0,0,18,18,17,18,18,0,0,17;2,0,0
0,0,18,18,18,18,18,0,0,0,0,0
0,0,18,18,18,18,0,0,0,0,0,0
L:10
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18;1,0,0,0,0,0,0,0
0,0,0,18;1,17;1,18;1,0,0,0,17,0,0
0,0,0,0,18;1,0,0,0,0,0,0,0
0,0,18,18,18,18,0,0,0,0,0,0
0,0,18,18,18,18,18,0,0,0,0,0
0,0,18,18,17,18,18,0,0,17;2,0,0
0,0,18,18,18,18,18,0,0,0,0,0
0,0,18,18,18,18,18,0,0,0,0,0
L:11
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,18;1,18;1,18;1,18;1,18;1,0,0,0,0,0
0,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18,18,18,18
0,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18,18,18,18
0,18;1,18;1,18;1,17;1,18;1,18;1,18;1,18,17,18,18
0,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18,18,18,18
0,18;1,18;1,18;1,18;1,18;1,18;1,18;1,18,18,18,0
0,0,18;1,18;1,18;1,18;1,18;1,0,0,0,0,0
0,0,0,18,17,18,0,0,0,17;2,0,0
0,0,0,18,18,18,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
L:12
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18;1,18;1,18;1,0,0,18,18,18,18
0,0,18;1,18;1,18;1,18;1,18;1,18,18,18,18,18
0,0,18;1,18;1,17;1,18;1,18;1,18,18,17,18,18
0,0,18;1,18;1,18;1,18;1,18;1,18,18,18,18,18
0,0,0,18;1,18;1,18;1,0,18;2,18;2,18;2,18;2,18
0,0,0,0,18,0,0,18;2,18;2,18;2,18;2,18;2
0,0,0,18,18,18,0,18;2,18;2,17;2,18;2,18;2
0,0,0,0,18,0,0,18;2,18;2,18;2,18;2,18;2
0,0,0,0,0,0,0,18;2,18;2,18;2,18;2,0
L:13
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18;1,0,0,0,0,18,0,0
0,0,0,18;1,17;1,18;1,0,0,18,17,18,0
0,0,0,0,18;1,0,0,0,18,18,18,0
0,0,0,0,0,0,0,0,18;2,18;2,18;2,18;2
0,0,0,0,0,0,0,18;2,18;2,18;2,18;2,18;2
0,0,0,0,0,0,0,18;2,18;2,17;2,18;2,18;2
0,0,0,0,0,0,0,18;2,18;2,18;2,18;2,18;2
0,0,0,0,0,0,0,0,18;2,18;2,18;2,18;2
L:14
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18;1,18;1,18;1,0,0,0,0,0,0
0,0,18;1,18;1,18;1,18;1,18;1,0,0,18,0,0
0,0,18;1,18;1,17;1,18;1,18;1,0,18,18,18,0
0,0,18;1,18;1,18;1,18;1,18;1,0,0,18,0,0
0,0,0,18;1,18;1,18;1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,18;2,18;2,18;2,0
0,0,0,0,0,0,0,0,18;2,17;2,18;2,0
0,0,0,0,0,0,0,0,18;2,18;2,18;2,0
0,0,0,0,0,0,0,0,0,0,0,0
L:15
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18;1,0,0,0,0,0,0,0
0,0,0,18;1,17;1,18;1,0,0,0,0,0,0
0,0,0,0,18;1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18;2,0,0
0,0,0,0,0,0,0,0,18;2,18;2,18;2,0
0,0,0,0,0,0,0,0,0,18;2,0,0
0,0,0,0,0,0,0,0,0,0,0,0
L:16
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18;1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
